Collection Name,Title#1,Subtitle#1,Title#2,Name#1,Name Role Term Text#1,Name Authority#1,Name#2,Name Role Term Text#2,Name Authority#2,Name#3,Name Role Term Text#3,Name Authority#3,Type of Resource#1,Type of Resource Authority#1,Genre#1,Genre Authority#1,Place Term#1,Place Term Authority#1,Publisher#1,Date Created#1,Date Captured#1,Language Term#1,Language Term Code#1,Language Term Code Authority#1,Form#1,Form Authority#1,Internet Media Type#1,Extent#1,Digital Origin#1,Form#2,Form Authority#2,Abstract#1,Note#1,Note Type#1,Subject Topic#1,Subject Authority#1,Subject Geographic#1,Subject Geographic Authority#1,Subject Title Info#1,Subject Name#1,Subject Name Authority#1,Subject Topic#10,Subject Authority#10,Subject Topic#11,Subject Authority#11,Subject Topic#12,Subject Authority#12,Subject Topic#13,Subject Authority#13,Subject Topic#2,Subject Authority#2,Subject Geographic#2,Subject Geographic Authority#2,Subject Name#2,Subject Name Authority#2,Subject Topic#3,Subject Authority#3,Subject Topic#4,Subject Authority#4,Subject Topic#5,Subject Authority#5,Subject Topic#6,Subject Authority#6,Subject Topic#7,Subject Authority#7,Subject Topic#8,Subject Authority#8,Subject Topic#9,Subject Authority#9,Identifier#1,Identifier ARK#1,Identifier#2,Physical Location#1,Physical Location Type#1,Sublocation#1,Shelf Locator#1,Location URL#1,Access Condition#1,Access Condition Authority#1,ln_RECORDID
Walter Orr Roberts papers,"A continuous solar movie, 1 of 2",,"A continuous solar movie, 2 of 2",International Astronomical Union,Producer,http://id.worldcat.org/fast/532309,Air Force Cambridge Research Laboratories (U.S.),Producer,http://id.worldcat.org/fast/562469,National Science Foundation (U.S.),Producer,http://id.worldcat.org/fast/529404,Moving image,http://id.loc.gov/vocabulary/resourceTypes/mov,black-and-white films (visual works),http://vocab.getty.edu/page/aat/300417958,,,,1959,2023,English,eng,http://id.loc.gov/vocabulary/iso639-2/eng,research (function),http://vocab.getty.edu/page/aat/300054687,video/mp4,"1 film reel (16 mm); black-and-white, silent; 00:15:08",reformatted digital,scientific films,local,"Producer, International Astronomical Union, Air Force Cambridge Research Laboratory, National Science Foundation. Working committee members, HJ Smith, MN Gnevyshev, RV Giovanelli, J Rosch. Director, HJ Smith. Production, JT Loomis, WD Booton, CJ Hume. Film depicts sun activity from 11 observatory stations around the world with date, station, and time noted in each shot.","00:00:00 Title card reads, “A Continuous Solar Movie – 6-20 July 1959” “Produced for the International Astronomical Union – By the working committee: HJ Smith, MN Gnevyshev, RV Giovanelli, J Rosch. With the support of Air Force Cambridge Research Laboratory & National Science Foundation -- Direction, HJ Smith. Production, JT Loomis, WD Booton, CJ Hume,” “Contributing Observatories: Abastrumani, Climax – High Alt. Obs. – Capetown, Dublin – Greenwich – Lockheed – McMath, Hulbert – Meudon – Mitaka – Sacramento Peak – Sydney, C.S.I.R.O. – Tashkent”; 00:00:51 The screen changes to depict a circle with the four cardinal directions (North, South, East, & West). The screen also reads in the top left and right corners, “Date, Station -- Universal Time”; 00:00:59 A view of the sun’s activity is shown through a telescope. The duration of the film shows views of the sun from different observatories while recording the date, station, and time; 00:14:50 End credits read, “THE END – Produced at Sacramento Peak”",segment sequence,Meteorology,http://id.worldcat.org/fast/1018441,,,,Sacramento Peak Observatory,http://id.worldcat.org/fast/586192,,,,,,,,,Heliophysics,local,,,,,Solar telescopes,http://id.loc.gov/authorities/subjects/sh85133447,,,,,,,,,,,,,U183044140509_U183044140567_narv_robertsWalter_continousSolarMovie_a.mp4,https://ark.colorado.edu/ark:/47540/t90x315260ck,,University of Colorado Boulder Libraries Rare and Distinctive Collections,local,COU:1356,"Series 5: Media, 1946-1980",https://archives.colorado.edu/repositories/2/archival_objects/248440,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,173
Walter Orr Roberts papers,Chronograph footage,,,,,,,,,,,,Moving image,http://id.loc.gov/vocabulary/resourceTypes/mov,black-and-white films (visual works),http://vocab.getty.edu/page/aat/300417958,,,,Undated,2023,English,eng,http://id.loc.gov/vocabulary/iso639-2/eng,research (function),http://vocab.getty.edu/page/aat/300054687,video/mp4,"1 film reel (16 mm); black-and-white, silent; 00:01:00",reformatted digital,scientific films,local,Reel contains images of a researcher in winter clothes with a choronograph telescope and other observation equipment.,00:00:00 Close-up view of research equipment; 00:00:14 A researcher works with the equipment; 00:00:25 A graphic of a coronagraph telescope appears and the researcher points to the graphic and then directs the viewer's attention to real parts on the telescope,segment sequence,Meteorology,http://id.worldcat.org/fast/1018441,,,,,,,,,,,,,,Heliophysics,local,,,,,,,,,,,,,,,,,,,U183075096741_narv_robertsWalter_chronographFootage_a.mp4,https://ark.colorado.edu/ark:/47540/821q5v2353p8,,University of Colorado Boulder Libraries Rare and Distinctive Collections,local,COU:1356,"Series 5: Media, 1946-1980",https://archives.colorado.edu/repositories/2/archival_objects/248440,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,187
Walter Orr Roberts papers,Cirrus time lapse,,,,,,,,,,,,Moving image,http://id.loc.gov/vocabulary/resourceTypes/mov,color films (visual works),http://vocab.getty.edu/page/aat/300417957,,,,1969-04-22,2023,English,eng,http://id.loc.gov/vocabulary/iso639-2/eng,research (function),http://vocab.getty.edu/page/aat/300054687,video/mp4,"1 film reel (16 mm); color, silent; 00:00:53",reformatted digital,scientific films,local,Reel contains time-lapse images of cirrus clouds over a mountain at various times of day and night.,00:00:00 Film begins by showing cirrus clouds moving across the sky. The duration of the film continues to show various cloud formations drift across the blue sky and over a mountain peak.,segment sequence,Meteorology,http://id.worldcat.org/fast/1018441,Colorado--Boulder,http://id.worldcat.org/fast/1206092,,,,,,,,,,,,Clouds,http://id.worldcat.org/fast/864856,,,,,,,,,,,,,,,,,,,U183075096652_narv_robertsWalter_circusTimelapse_a.mp4,https://ark.colorado.edu/ark:/47540/2b129m93b9df,,University of Colorado Boulder Libraries Rare and Distinctive Collections,local,COU:1356,"Series 5: Media, 1946-1980",https://archives.colorado.edu/repositories/2/archival_objects/248440,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,182
Walter Orr Roberts papers,Cloud time-lapse over Boulder,,,,,,,,,,,,Moving image,http://id.loc.gov/vocabulary/resourceTypes/mov,color films (visual works),http://vocab.getty.edu/page/aat/300417957,,,,1972-10-24,2023,English,eng,http://id.loc.gov/vocabulary/iso639-2/eng,research (function),http://vocab.getty.edu/page/aat/300054687,video/mp4,"1 film reel (16 mm); color, silent; 00:02:45",reformatted digital,scientific films,local,Reel contains time-lapse images of clouds in the sky from day to evening.,"00:00:00 Film begins by showing clouds moving across the sky in the morning. The duration of the film continues to show various cloud formations drift across the blue sky and over a mountain peak; 00:01:00 The sun rises to show a sign that reads “Boulder, Colorado” and clouds continue to move across the sky; 00:02:00 The sun slowly sets as the clouds continue to travel.",segment sequence,Meteorology,http://id.worldcat.org/fast/1018441,Colorado--Boulder,http://id.worldcat.org/fast/1206092,,,,,,,,,,,,Clouds,http://id.worldcat.org/fast/864856,,,,,,,,,,,,,,,,,,,U183075096733_narv_robertsWalter_cloudTimelapseBoulder_a.mp4,https://ark.colorado.edu/ark:/47540/v23x1w56f20m,,University of Colorado Boulder Libraries Rare and Distinctive Collections,local,COU:1356,"Series 5: Media, 1946-1980",https://archives.colorado.edu/repositories/2/archival_objects/248440,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,186
Walter Orr Roberts papers,Cloud time-lapse over Boulder,,,,,,,,,,,,Moving image,http://id.loc.gov/vocabulary/resourceTypes/mov,color films (visual works),http://vocab.getty.edu/page/aat/300417957,,,,1966-01,2023,English,eng,http://id.loc.gov/vocabulary/iso639-2/eng,research (function),http://vocab.getty.edu/page/aat/300054687,video/mp4,"1 film reel (16 mm); color, silent; 00:02:52",reformatted digital,scientific films,local,"Reel contains time-lapse images of clouds over a mountain, with time and location information on screen.",00:00:00 Film begins by showing clouds moving across the sky. The duration of the film continues to show various cloud formations drift across the blue sky; 00:02:06 The film gets darker and might depict clouds during the night time.,segment sequence,Meteorology,http://id.worldcat.org/fast/1018441,Colorado--Boulder,http://id.worldcat.org/fast/1206092,,,,,,,,,,,,Clouds,http://id.worldcat.org/fast/864856,,,,,,,,,,,,,,,,,,,U183044140698_narv_robertsWalter_cloudTimelapseBoulder_a.mp4,https://ark.colorado.edu/ark:/47540/6k2z0m6147ns,,University of Colorado Boulder Libraries Rare and Distinctive Collections,local,COU:1356,"Series 5: Media, 1946-1980",https://archives.colorado.edu/repositories/2/archival_objects/248440,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,176
Walter Orr Roberts papers,Coal. drops,,,,,,,,,,,,Moving image,http://id.loc.gov/vocabulary/resourceTypes/mov,black-and-white films (visual works),http://vocab.getty.edu/page/aat/300417958,,,,Undated,2023,English,eng,http://id.loc.gov/vocabulary/iso639-2/eng,research (function),http://vocab.getty.edu/page/aat/300054687,video/mp4,"1 film reel (16 mm); black-and-white, silent; 00:01:00",reformatted digital,scientific films,local,Reel contains close-up images of droplets.,00:00:00 Water droplets quickly fall from each of the top corners to form a “Y” shape.,segment sequence,Meteorology,http://id.worldcat.org/fast/1018441,,,,,,,,,,,,,,Water,http://id.worldcat.org/fast/1171139,,,,,Science--Experiments,http://id.worldcat.org/fast/1108230,,,,,,,,,,,,,U183075096686_narv_robertsWalter_coalDrops_a.mp4,https://ark.colorado.edu/ark:/47540/fq1f3j31p1n1,,University of Colorado Boulder Libraries Rare and Distinctive Collections,local,COU:1356,"Series 5: Media, 1946-1980",https://archives.colorado.edu/repositories/2/archival_objects/248440,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,184
Walter Orr Roberts papers,Explosions on the sun,,,,,,,,,,,,Moving image,http://id.loc.gov/vocabulary/resourceTypes/mov,black-and-white films (visual works),http://vocab.getty.edu/page/aat/300417958,,,,1945,2023,English,eng,http://id.loc.gov/vocabulary/iso639-2/eng,research (function),http://vocab.getty.edu/page/aat/300054687,video/mp4,"1 film reel (16 mm); black-and-white, silent; 00:06:08",reformatted digital,scientific films,local,"Notes from container, ""Hi-quality prom. [prominence] films."" Reel contains images of the sun's corona, with solar explosions, dated between June 28, 1945 and March 27, 1946. Shot at 0.1 fps. Includes title cards with original research notes.",00:00:00 Film begins by showing footage of solar prominence. The entire film depicts different views of solar flares and explosions.,segment sequence,Meteorology,http://id.worldcat.org/fast/1018441,,,,,,,,,,,,,,Heliophysics,local,,,,,Solar flares,http://id.loc.gov/authorities/subjects/sh85124511,,,,,,,,,,,,,U183044140402_narv_robertsWalter_explosionsOnSun_a.mp4,https://ark.colorado.edu/ark:/47540/hf7k235740z1,,University of Colorado Boulder Libraries Rare and Distinctive Collections,local,COU:1356,"Series 5: Media, 1946-1980",https://archives.colorado.edu/repositories/2/archival_objects/248440,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,171
Walter Orr Roberts papers,"Explosions on the sun, print from master",,,,,,,,,,,,Moving image,http://id.loc.gov/vocabulary/resourceTypes/mov,black-and-white films (visual works),http://vocab.getty.edu/page/aat/300417958,,,,1945,2023,English,eng,http://id.loc.gov/vocabulary/iso639-2/eng,research (function),http://vocab.getty.edu/page/aat/300054687,video/mp4,"1 film reel (16 mm); black-and-white, silent; 00:08:01",reformatted digital,scientific films,local,"Notes from container: ""Poor quality 1970 print of old master."" Reel contains images of the sun's corona, with solar explosions, dated between June 28, 1945 and March 27, 1946. Shot at 0.1 fps. Includes informational intertitltes for a more general public.","00:00:00 Title card reads ""EXPLOSIONS ON THE SUN,"" ""Solar Prominences Photographed through a special narrow-band filter in red light of hydrogen. A metal disc eclipses the sun.""; 00:00:16 A view of the sun, showing solar flares; 00:00:26 A man works with a device or machine. The screen then reads, ""These pictures cover an area 50,000 miles wide by 400,000 miles high. The earth, to the same scale would be the size of this dot: ·""; 00:00:28 Screen shows the sun again. Another screen reads, ""Active region with explosive surge -- January 4, 1945 -- Acceleration: 400 times."" The screen changes to show the solar explosions again; 00:01:12 The screen reads, ""Graceful fountain -- December 19, 1945 -- Acceleration: 400 times""; 00:01:29 Screen reads, ""This prominence develops into an eruptive arch -- Exposure interrupted by clouds -- June 28, 1945 -- Acceleration: 400 times""; 00:02:21 Screen reads, ""Matter streaming downward in loops -- January 28, 1946 -- Acceleration: 600 at beginning -- 1200 at end""; 00:02:35 Screen reads, ""Note formation of dazzling flare""; 00:02:54 Screen reads, ""Inverted cone prominence. Also note pulsing surges -- November 22, 1945 -- Acceleration: 600 times"" Screen shows solar flares again; 00:03:25 Screen reads, ""An eruptive arch -- the largest ever photographed -- June 4, 1946 -- Acceleration: 600 times""; 00:03:35 Screen reads, ""A REPETITION -- Expanding at the rate of nearly 100 miles per second, the arch probably became almost as large as the sun itself.""; 00:04:05 Screen reads, ""LOOP PROMINENCES -- The marked curvature may result from magnetic fields of nearby sun-spots. -- March 10, 1946 -- Acceleration: 400 times""; 00:04:29 Screen reads, ""MORE LOOPS -- Note how matter becomes luminous at high levels -- March 27, 1946 -- Acceleration: 600 times""; 00:05:11 Screen reads, ""Active region. Watch sharply for eruptive surge returning sunward along original path -- March 29, 1946 -- Acceleration: 1200 times""; 00:05:33 Screen reads, ""Suspended cloud -- March 23, 1946 -- Acceleration: 600 times""; 00:06:03 Screen reads, ""SERIES OF SURGES -- The largest reaches altitude of 250,000 miles -- June 12, 1946 -- Acceleration: 600 times"" -- 00:06:45 Screen reads, ""Giant replica of atomic bomb explosion -- even to the mushroom cap -- February 14, 1946 -- Acceleration: 1200 times""; 00:07:00 Screen reads, ""A massive prominence of great brilliance -- February 27, 1946 -- Acceleration: 600 times""; 00:07:16 Screen reads, ""Formation of loops with very pronounced downward streaming -- February 24, 1946 -- Acceleration: 600 times""; 00:07:51 Screen reads, ""THE END"" and film ends.",segment sequence,Meteorology,http://id.worldcat.org/fast/1018441,,,,,,,,,,,,,,Heliophysics,local,,,,,Solar flares,http://id.loc.gov/authorities/subjects/sh85124511,,,,,,,,,,,,,U183044140389_narv_robertsWalter_explosionsOnSunPrint_a.mp4,https://ark.colorado.edu/ark:/47540/rs8c9m825760,,University of Colorado Boulder Libraries Rare and Distinctive Collections,local,COU:1356,"Series 5: Media, 1946-1980",https://archives.colorado.edu/repositories/2/archival_objects/248440,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,169
Walter Orr Roberts papers,Fujita hurricanes,,,"Fujita, Tetsuya Theodore",Creator,http://id.loc.gov/authorities/names/n50023724,,,,,,,Moving image,http://id.loc.gov/vocabulary/resourceTypes/mov,color films (visual works),http://vocab.getty.edu/page/aat/300417957,,,,1969,2023,English,eng,http://id.loc.gov/vocabulary/iso639-2/eng,research (function),http://vocab.getty.edu/page/aat/300054687,video/mp4,"1 film reel (16 mm); color, silent; 00:02:15",reformatted digital,scientific films,local,"Producer, Tetsuya T. Fujita, University of Chicago, NASA, ESSA. Title from film container. Label on film reads, ""Application of ATS-enhanced photos for hurricane research, University of Chicago."" Title on screen, ""SMRP Film 009."" Container notes indicate that reel is ""missing 2 scenes."" Reel contains images of hurricanes with and without geographic coordinates, including Hurricane Debby (August 1969) and Hurricane Camille (1969), filmed ""from enhanced ATS photos"" and ""from regular ATS photos."" Film presented at the Sixth Hurricane Conference, 4 December 1969, Miami.","00:00:00 Title card reads, “Application of Enhanced ATS Pictures for Hurricane Research,” “by Tetsuya T. Fujita – presented at the Sixth Hurricane Conference – 4 December 1969 -- Miami”; 00:00:07 Screen reads, “Hurricane Camille Aug. 1969,” “Filmed from: Regular ATS Photos.” The screen changes to show an aerial view of a hurricane; 00:00:47 Screen reads, “Filmed from: Regular ATS Photos” and continues to show an aerial view of a weather system; 00:01:21 Screen reads, “Enhanced and rectified Camille – 17 August 1969.” An aerial view of hurricane Camille is depicted; 00:01:44 Screen reads, “Experimental enhancement of Hurricane Debby -- 20 August. 1969” and an aerial view of hurricane Debby is depicted; 00:02:06 End credits read, “SMRP Film 009 – T.T. Fujita – The University of Chicago – November 1969 – Sponsored by NASA and ESSA”",segment sequence,Meteorology,http://id.worldcat.org/fast/1018441,,,Every Student Succeeds Act (United States),,,,,,,,,,,Hurricanes,http://id.loc.gov/authorities/subjects/sh85063195,,,,,,,,,,,,,,,,,,,U183075096644_narv_robertsWalter_fujitaHurricanes_a.mp4,https://ark.colorado.edu/ark:/47540/fb5p7174m847,,University of Colorado Boulder Libraries Rare and Distinctive Collections,local,COU:1356,"Series 5: Media, 1946-1980",https://archives.colorado.edu/repositories/2/archival_objects/248440,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,181
Walter Orr Roberts papers,General circulation model/Richardson quote,,,National Center for Atmospheric Research (U.S.),Creator,http://id.worldcat.org/fast/530733,,,,,,,Moving image,http://id.loc.gov/vocabulary/resourceTypes/mov,color films (visual works),http://vocab.getty.edu/page/aat/300417957,,,,ca. 1960s,2023,English,eng,http://id.loc.gov/vocabulary/iso639-2/eng,research (function),http://vocab.getty.edu/page/aat/300054687,video/mp4,"1 film reel (16 mm); color, silent; 00:03:24",reformatted digital,scientific films,local,"Reel contains collection of clips. Container label reads, ""General Circulation Model, with Titles."" Begins with credits, noting producer, National Center For Atmospheric Research, Boulder, Colorado (University Corporation for Atmospheric Research, under contract with the National Science Foundation). Title on screen, ""General Circulation Model, Two-Level Version, January."" U3435."" Contains graphic of a rotating globe with dates of measurement and note on surface pressure countour. Also includes text of quotation, ""Text of quotation: ""'Perhaps someday in the dim future it will be possible to advance the computations faster than the weather advances and at a cost less than the saving to mankind due to the information gained. But that is a dream.' - L. F. Richardson, Weather Prediction by Numberical Process, 1922."" Reel ends with additional globe graphic footage, labeled ""Washington global model, with clouds.""","00:00:01 Title card reads, “Produced by NCAR – The National Center for Atmospheric Research – Boulder, Colorado.” “NCAR is operated by The University Corporation for Atmospheric Research under contract with the National Science Foundation.” “General circulation model – two level version – January.” “Surface pressure contour interval = 5 mb.”; 00:00:34 An image of earth appears on a red background and slowly rotates. High and low systems are represented on the globe; 00:02:21 Screen reads, “’Perhaps [some day] in the dim future it will be possible to advance the computations faster than the weather advances and at a cost less than the saving to mankind due to the information gained. But that is a dream.’ – L. F. Richardson – weather prediction by numerical process, 1922.” 00:02:39 An image of earth appears on a red background again and displays high and low weather systems.",segment sequence,Meteorology,http://id.worldcat.org/fast/1018441,,,,,,,,,,,,,,Science--Experiments,http://id.worldcat.org/fast/1108230,,,,,Atmospheric circulation,http://id.worldcat.org/fast/820394,,,,,,,,,,,,,U183075096725_narv_robertsWalter_circulationModelRichardson_a.mp4,https://ark.colorado.edu/ark:/47540/mz056m60307j,,University of Colorado Boulder Libraries Rare and Distinctive Collections,local,COU:1356,"Series 5: Media, 1946-1980",https://archives.colorado.edu/repositories/2/archival_objects/248440,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,185
