"Collection Name","Title#1","Name#1","Name Role Term Text#1","Name#2","Name Role Term Text#2","Name#3","Name Role Term Text#3","Name#4","Name Role Term Text#4","Type of Resource#1","Place Term#1","Publisher#1","Date Created#1","Language Term#1","Form#1","Extent#1","Abstract#1","Subject Topic#1","Subject Geographic#1","Subject Topic#2","Subject Topic#10","Subject Topic#11","Subject Topic#12","Subject Topic#13","Subject Topic#14","Subject Geographic#2","Subject Topic#3","Subject Topic#4","Subject Topic#5","Subject Topic#6","Subject Topic#7","Subject Topic#8","Subject Topic#9","Identifier ARK#1","Identifier#2","Physical Location#1","Access Condition#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Walter Orr Roberts Papers","[26 images from Walter Orr Roberts thesis]","Roberts, Walter Orr","Creator","","","","","","","still image","Colorado-Boulder","High Altitude Observatory (National Center for Atmospheric Research (U.S.))","1943","English","Academic theses","","","Coronagraphs","","Astronomical observatories","","","","","","","Equipment and supplies","Spectrograph","Guidebooks","","","","","https://ark.colorado.edu/ark:/47540/k85d6k58346c","narv_robertsWalterOrr_587.pdf","Special Collections, Archives & Preservation, University of Colorado Boulder","This Item is protected by copyright and/or related rights.

  You are free to use this Item in any way that is permitted by the 
copyright and related rights legislation that applies to your use. In 
addition, no permission is required from the rights-holder(s) for 
non-commercial uses. https://rightsstatements.org/page/InC-NC/1.0/?language=en","42","4865","narv_robertsWalterOrr_587.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~16~16~42~223451"
"Walter Orr Roberts Papers","[Contract: Central Radio Propagation Laboratory, National Bureau of Standards]","","Creator","Central Radio Propagation Laboratory (U.S.)","Contributor","High Altitude Observatory (National Center for Atmospheric Research (U.S.))","Contributor","","","text","","","1947-07-23","English","Contracts","4 pages","Draft of contract between the National Bureau of Standards' Central Radio Propagation Laboratory and the High Altitude Observatory, for the latter to collect and report solar phenomena data","High Altitude Observatory (University of Colorado)","","Solar radio emissions","","","","","","","Research grants","Radio—Equipment and supplies—Effect of radiation on","Solar activity","Astronomical observatories","Research grants","","","https://ark.colorado.edu/ark:/47540/zh9w830484q6","narv_robertsWalterOrr_125.pdf","Special Collections, Archives & Preservation, University of Colorado Boulder","This Item is protected by copyright and/or related rights.

  You are free to use this Item in any way that is permitted by the 
copyright and related rights legislation that applies to your use. In 
addition, no permission is required from the rights-holder(s) for 
non-commercial uses. https://rightsstatements.org/page/InC-NC/1.0/?language=en","24","4865","narv_robertsWalterOrr_125.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~16~16~24~223281"
"Walter Orr Roberts Papers","[Contributions to the High Altitude Observatory]","","Creator","","","","","","","text","","High Altitude Observatory (National Center for Atmospheric Research (U.S.))","1951-02-27","English","Registers (Lists)","2 pages","List of personal and corporate contributions to and work contracts of the High Altitude Observatory since 1940","High Altitude Observatory (University of Colorado)","Colorado--Climax","Research grants","","","","","","","High Altitude Observatory (University of Colorado)","Professional staff","","","","","","https://ark.colorado.edu/ark:/47540/zj16576497x0","narv_robertsWalterOrr_566.pdf","Special Collections, Archives & Preservation, University of Colorado Boulder","This Item is protected by copyright and/or related rights.

  You are free to use this Item in any way that is permitted by the 
copyright and related rights legislation that applies to your use. In 
addition, no permission is required from the rights-holder(s) for 
non-commercial uses. https://rightsstatements.org/page/InC-NC/1.0/?language=en","112","4865","narv_robertsWalterOrr_566.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~16~16~112~223441"
"Walter Orr Roberts Papers","[Coronagraph drive assembly]","","Creator","","","","","","","text","","High Altitude Observatory (National Center for Atmospheric Research (U.S.))","1949-08-17","English","Records (Documents)","","Technical plan for the drive assembly of the coronagraph at the High Altitude Observatory","Coronagraphs","Colorado--Climax","Coronagraphs","","","","","","","Power supply","Specifications","","","","","","https://ark.colorado.edu/ark:/47540/rj7f7489123p","narv_robertsWalterOrr_284.pdf","Special Collections, Archives & Preservation, University of Colorado Boulder","This Item is protected by copyright and/or related rights.

  You are free to use this Item in any way that is permitted by the 
copyright and related rights legislation that applies to your use. In 
addition, no permission is required from the rights-holder(s) for 
non-commercial uses. https://rightsstatements.org/page/InC-NC/1.0/?language=en","106","4865","narv_robertsWalterOrr_284.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~16~16~106~223373"
"Walter Orr Roberts Papers","[Dedication Program: Sommers-Bausch Observatory]","","Creator","","","","","","","text","","University of Colorado Boulder","1953-08-27","English","Programs (documents)","2 pages","Program for the dedication of the Sommers-Bausch Observatory in Boulder, Colorado","Astronomical observatories","Colorado--Boulder","Sommers-Bausch Observatory","","","","","","","Research","","","","","","","https://ark.colorado.edu/ark:/47540/z79v5k56m8qw","narv_robertsWalterOrr_430.pdf","Special Collections, Archives & Preservation, University of Colorado Boulder","This Item is protected by copyright and/or related rights.

  You are free to use this Item in any way that is permitted by the 
copyright and related rights legislation that applies to your use. In 
addition, no permission is required from the rights-holder(s) for 
non-commercial uses. https://rightsstatements.org/page/InC-NC/1.0/?language=en","122","4865","narv_robertsWalterOrr_430.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~16~16~122~223409"
"Walter Orr Roberts Papers","[Draft: New Methods and Instruments of Solar Observation]","Roberts, Walter Orr","Creator","","","","","","","text","","","1957-06-03","English","Drafts (documents)","19 pages","Draft of a paper by Walter Orr Roberts on the coronagraph and other methods and equipment in solar research","Coronagraphs","","Specifications","","","","","","","Sun","Corona","Observation","Spectrograph","Specifications","Astronomical spectroscopy","","https://ark.colorado.edu/ark:/47540/jf7h3q1382dg","narv_robertsWalterOrr_309.pdf","Special Collections, Archives & Preservation, University of Colorado Boulder","This Item is protected by copyright and/or related rights.

  You are free to use this Item in any way that is permitted by the 
copyright and related rights legislation that applies to your use. In 
addition, no permission is required from the rights-holder(s) for 
non-commercial uses. https://rightsstatements.org/page/InC-NC/1.0/?language=en","63","4865","narv_robertsWalterOrr_309.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~16~16~63~223381"
"Walter Orr Roberts Papers","[Drawing: 6-inch aperture coronagraph]","","Creator","","","","","","","text","","High Altitude Observatory (National Center for Atmospheric Research (U.S.))","","English","Drawings","","""Artist's conception of the new, partially completed 6-inch aperture coronagraph, showing its prominence camera and spectrograph. The spectrograph is also adapted for rapid sequence line-of-sight velocity analysis""","Coronagraphs","Colorado--Climax","Design and construction","","","","","","","Coronagraphs","Specifications","","","","","","https://ark.colorado.edu/ark:/47540/rh9v5w3345vg","narv_robertsWalterOrr_283.pdf","Special Collections, Archives & Preservation, University of Colorado Boulder","This Item is protected by copyright and/or related rights.

  You are free to use this Item in any way that is permitted by the 
copyright and related rights legislation that applies to your use. In 
addition, no permission is required from the rights-holder(s) for 
non-commercial uses. https://rightsstatements.org/page/InC-NC/1.0/?language=en","147","4865","narv_robertsWalterOrr_283.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~16~16~147~223211"
"Walter Orr Roberts Papers","[Drawings, model, and construction photos of Table Mesa lab]","","Creator","","","","","","","mixed material","","National Center for Atmospheric Research (U.S.)","1965-03-08","English","Mixed media","6 pages","Plan drawings, model, and construction photos of the Table Mesa Laboratory of the National Center for Atmospheric Research in Boulder, Colorado","","","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/21584g1891c1","narv_robertsWalterOrr_764_001.pdf","Special Collections, Archives & Preservation, University of Colorado Boulder","This Item is protected by copyright and/or related rights.

  You are free to use this Item in any way that is permitted by the 
copyright and related rights legislation that applies to your use. In 
addition, no permission is required from the rights-holder(s) for 
non-commercial uses. https://rightsstatements.org/page/InC-NC/1.0/?language=en","150","4865","narv_robertsWalterOrr_764_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~16~16~150~223503"
"Walter Orr Roberts Papers","[Drawings, model, and construction photos of Table Mesa lab]","","Creator","","","","","","","mixed material","","National Center for Atmospheric Research (U.S.)","1965-03-08","English","Mixed media","6 pages","Plan drawings, model, and construction photos of the Table Mesa Laboratory of the National Center for Atmospheric Research in Boulder, Colorado","","","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/qp7d766674xz","narv_robertsWalterOrr_764_002.pdf","Special Collections, Archives & Preservation, University of Colorado Boulder","This Item is protected by copyright and/or related rights.

  You are free to use this Item in any way that is permitted by the 
copyright and related rights legislation that applies to your use. In 
addition, no permission is required from the rights-holder(s) for 
non-commercial uses. https://rightsstatements.org/page/InC-NC/1.0/?language=en","151","4865","narv_robertsWalterOrr_764_002.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~16~16~151~223505"
"Walter Orr Roberts Papers","[Drawings, model, and construction photos of Table Mesa lab]","","Creator","","","","","","","mixed material","","National Center for Atmospheric Research (U.S.)","1965-03-08","English","Mixed media","6 pages","Plan drawings, model, and construction photos of the Table Mesa Laboratory of the National Center for Atmospheric Research in Boulder, Colorado","","","","","","","","","","","","","","","","","https://ark.colorado.edu/ark:/47540/sx5j8m260998","narv_robertsWalterOrr_764_003.pdf","Special Collections, Archives & Preservation, University of Colorado Boulder","This Item is protected by copyright and/or related rights.

  You are free to use this Item in any way that is permitted by the 
copyright and related rights legislation that applies to your use. In 
addition, no permission is required from the rights-holder(s) for 
non-commercial uses. https://rightsstatements.org/page/InC-NC/1.0/?language=en","152","4865","narv_robertsWalterOrr_764_003.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~16~16~152~223507"
